643,RUS,Russia
360,IDN,Indonesia
840,USA,United States
850,VIR,Virgin_Islands_U_S
304,GRL,Greenland
156,CHN,China
36,AUS,Australia
76,BRA,Brazil
124,CAN,Canada
152,CHL,Chile
4,AFG,Afghanistan
8,ALB,Albania
10,ATA,Antarctica
12,DZA,Algeria
16,ASM,American Samoa
20,AND,Andorra
24,AGO,Angola
28,ATG,Antigua and Barbuda
31,AZE,Azerbaijan
32,ARG,Argentina
40,AUT,Austria
44,BHS,Bahamas
48,BHR,Bahrain
50,BGD,Bangladesh
51,ARM,Armenia
52,BRB,Barbados
56,BEL,Belgium
60,BMU,Bermuda
64,BTN,Bhutan
68,BOL,Bolivia
70,BIH,Bosnia and Herzegovina
72,BWA,Botswana
74,BVT,Bouvet Island
84,BLZ,Belize
86,IOT,British Indian Ocean Territory
90,SLB,Solomon Islands
92,VGB,British Virgin Islands
96,BRN,Brunei
100,BGR,Bulgaria
104,MMR,Myanmar
108,BDI,Burundi
112,BLR,Belarus
116,KHM,Cambodia
120,CMR,Cameroon
132,CPV,Cape Verde
136,CYM,Cayman Islands
140,CAF,Central African Republic
144,LKA,Sri Lanka
148,TCD,Chad
158,TWN,Taiwan
170,COL,Colombia
174,COM,Comoros
175,MYT,Mayotte
178,COG,Republic of Congo
180,COD,Democratic Republic of the Congo
184,COK,Cook Islands
188,CRI,Costa Rica
191,HRV,Croatia
192,CUB,Cuba
196,CYP,Cyprus
203,CZE,Czech Republic
204,BEN,Benin
208,DNK,Denmark
212,DMA,Dominica
214,DOM,Dominican Republic
218,ECU,Ecuador
222,SLV,El Salvador
226,GNQ,Equatorial Guinea
231,ETH,Ethiopia
232,ERI,Eritrea
233,EST,Estonia
234,FRO,Faroe Islands
238,FLK,Falkland Islands
239,SGS,South Georgia and the South Sandwich Islands
242,FJI,Fiji
246,FIN,Finland
248,ALA,Aland Islands
250,FRA,France
254,GUF,French Guiana
258,PYF,French Polynesia
260,ATF,French Southern Territories
262,DJI,Djibouti
266,GAB,Gabon
268,GEO,Georgia
270,GMB,Gambia
275,PSE,Palestina
276,DEU,Germany
288,GHA,Ghana
292,GIB,Gibraltar
296,KIR,Kiribati
300,GRC,Greece
308,GRD,Grenada
312,GLP,Guadeloupe
316,GUM,Guam
320,GTM,Guatemala
324,GIN,Guinea
328,GUY,Guyana
332,HTI,Haiti
334,HMD,Heard Island and McDonald Islands
336,VAT,Vatican City
340,HND,Honduras
344,HKG,Hong Kong
348,HUN,Hungary
352,ISL,Iceland
356,IND,India
364,IRN,Iran
368,IRQ,Iraq
372,IRL,Ireland
376,ISR,Israel
380,ITA,Italy
384,CIV,CIte dIvoire
388,JAM,Jamaica
392,JPN,Japan
398,KAZ,Kazakhstan
400,JOR,Jordan
404,KEN,Kenya
408,PRK,North Korea
410,KOR,South Korea
414,KWT,Kuwait
417,KGZ,Kyrgyzstan
418,LAO,Laos
422,LBN,Lebanon
426,LSO,Lesotho
428,LVA,Latvia
430,LBR,Liberia
434,LBY,Libya
438,LIE,Liechtenstein
440,LTU,Lithuania
442,LUX,Luxembourg
446,MAC,Macao
450,MDG,Madagascar
